species_name,inat_common
Ruellia humilis,hairy ruellia
Acorus americanus,American Sweet-Flag
Acorus calamus,Eurasian Sweet-Flag
Actinidia arguta,Hardy kiwifruit
Alisma gramineum,grass-leaved water-plantain
Alisma subcordatum,american water-plantain
Alisma triviale,northern water-plantain
Sagittaria brevirostra,Midwestern Arrowhead
Sagittaria cuneata,Arumleaf Arrowhead
Sagittaria engelmanniana,Engelmann's Arrowhead
Sagittaria graminea,Grass-leaved Arrowhead
Sagittaria latifolia,broadleaf arrowhead
Sagittaria rigida,sessile-fruited arrowhead
Sagittaria spongiosus,NA
Sagittaria teres,Slender Arrowhead
Liquidambar styraciflua,American sweetgum
Amaranthus blitum,purple amaranth
Amaranthus cannabinus,Tidalmarsh Amaranth
Amaranthus caudatus,Love-lies-bleeding
Amaranthus hybridus,Smooth Pigweed
Amaranthus retroflexus,Redroot Amaranth
Atriplex acadiensis,Maritime Saltbush
Atriplex cristata,Crested saltbush
Atriplex patula,Common Orache
Atriplex prostrata,Creeping Saltbush
Bassia scoparia,summer-cypress
Chenopodiastrum simplex,American maple-leaved goosefoot
Chenopodium album,Common Lambsquarters
Chenopodium berlandieri,pitseed goosefoot
Chenopodium foggii,Fogg's Goosefoot
Dysphania ambrosioides,Mexican tea
Dysphania botrys,Jerusalem oak
Dysphania pumilio,Clammy goosefoot
Froelichia gracilis,Slender Snakecotton
Oxybasis glauca,oak-leaved goosefoot
Salicornia ambigua,perennial glasswort
Salicornia bigelovii,Dwarf Glasswort
Salicornia depressa,Virginia Glasswort
Salicornia perennis,Perennial Glasswort
Salsola kali,saltwort
Suaeda calceoliformis,Horned Seablite
Suaeda maritima,Herbaceous Seepweed
Allium canadense,Canadian Meadow garlic
Allium cernuum,nodding onion
Allium schoenoprasum,Chives
Allium tricoccum,wide leek
Allium tuberosum,Garlic Chives
Allium vineale,wild garlic
Galanthus elwesii,greater snowdrop
Galanthus nivalis,common snowdrop
Galanthus woronowii,Green Snowdrop
Ipheion uniflorum,Spring starflower
Leucojum aestivum,Summer snowflake
Leucojum vernum,Spring Snowflake
Lycoris squamigera,Surprise Lily
Narcissus poeticus,Poet's Narcissus
Narcissus pseudonarcissus,wild daffodil
Cotinus coggygria,Smokebush
Rhus aromatica,fragrant sumac
Rhus copallina,NA
Rhus glabra,smooth sumac
Rhus typhina,staghorn sumac
Rhus ×,NA
Toxicodendron radicans,eastern poison ivy
Toxicodendron rydbergii,western poison ivy
Toxicodendron vernix,poison sumac
Asimina triloba,common pawpaw
Aegopodium podagraria,Goutweed
Aethusa cynapium,Fool's parsley
Angelica atropurpurea,purple-stemmed angelica
Angelica lucida,sea-watch
Anthriscus sylvestris,Cow Parsley
Astrantia major,great masterwort
Carum carvi,Caraway
Cicuta bulbifera,bulblet-bearing water hemlock
Cicuta maculata,water hemlock
Conium maculatum,poison hemlock
Coriandrum sativum,coriander
Cryptotaenia canadensis,honewort
Daucus carota,wild carrot
Eryngium yuccifolium,rattlesnake master
Foeniculum vulgare,fennel
Heracleum mantegazzianum,Giant Hogweed
Heracleum maximum,common cowparsnip
Heracleum sphondylium,hogweed
Conioselinum chinense,hemlock-parsley
Levisticum officinale,Lovage
Ligusticum scothicum,Scots Lovage
Lilaeopsis chinensis,Eastern Lilaeopsis
Myrrhis odorata,sweet cicely
Osmorhiza claytonii,hairy sweet cicely
Osmorhiza longistylis,aniseroot
Pastinaca sativa,wild parsnip
Petroselinum crispum,garden parsley
Pimpinella saxifraga,Burnet-saxifrage
Ptilimnium capillaceum,herbwilliam
Sanicula canadensis,Black Snakeroot
Sanicula marilandica,Maryland Sanicle
Sanicula odorata,Clustered Sanicle
Sanicula trifoliata,large-fruited sanicle
Sium suave,water parsnip
Torilis japonica,upright hedge-parsley
Zizia aptera,heart-leaf golden Alexanders
Zizia aurea,golden Alexanders
Apiaceae,NA
Amsonia tabernaemontana,eastern bluestar
Apocynum androsaemifolium,spreading dogbane
Apocynum cannabinum,hemp dogbane
Apocynum ×,NA
Asclepias amplexicaulis,clasping milkweed
Asclepias exaltata,poke milkweed
Asclepias incarnata,swamp milkweed
Asclepias purpurascens,purple milkweed
Asclepias quadrifolia,four-leaved milkweed
Asclepias syriaca,common milkweed
Asclepias tuberosa,butterfly milkweed
Asclepias verticillata,whorled milkweed
Vinca major,greater periwinkle
Vinca minor,lesser periwinkle
Vincetoxicum nigrum,black swallow-wort
Vincetoxicum rossicum,European swallow-wort
Ilex aquifolium,European holly
Ilex crenata,Japanese holly
Ilex glabra,gallberry
Ilex laevigata,Smooth Winterberry
Ilex montana,Mountain Winterberry
Ilex mucronata,Mountain holly
Ilex opaca,American holly
Ilex verticillata,winterberry holly
Ilex ×,NA
Arisaema dracontium,green dragon
Arisaema stewardsonii,bog Jack-in-the-pulpit
Arisaema triphyllum,Jack-in-the-Pulpit
Arum italicum,Italian arum
Calla palustris,marsh calla
Lemna minor,Common Duckweed
Lemna trisulca,Ivy-leaved Duckweed
Orontium aquaticum,Golden Club
Peltandra virginica,Green Arrow Arum
Pinellia ternata,Crowdipper
Pistia stratiotes,water lettuce
Spirodela polyrhiza,greater duckweed
Symplocarpus foetidus,Eastern Skunk Cabbage
Wolffia brasiliensis,Brazilian watermeal
Aralia elata,Japanese angelica tree
Aralia hispida,bristly sarsaparilla
Aralia nudicaulis,wild sarsaparilla
Aralia racemosa,American spikenard
Eleutherococcus sieboldianus,Five-fingered Aralia
Hedera helix,common ivy
Hydrocotyle americana,American Water-pennywort
Hydrocotyle umbellata,manyflower marshpennywort
Kalopanax septemlobus,Castor-Aralia
Panax quinquefolius,American ginseng
Panax trifolius,dwarf ginseng
Cocos nucifera,coconut palm
Asarum canadense,Canadian wild ginger
Asarum europaeum,Asarabacca
Aristolochia tomentosa,woolly Dutchman's pipe
Aristolochiaceae,NA
Asparagus officinalis,wild asparagus
Convallaria majalis,European lily of the valley
Hosta sieboldii,Small-leaved Plantain Lily
Hosta ventricosa,Blue Plantain-lily
Hyacinthoides hispanica,Spanish Bluebell
Hyacinthoides ×,NA
Hyacinthus orientalis,Hyacinth
Maianthemum canadense,Canada mayflower
Maianthemum racemosum,Solomon's plume
Maianthemum stellatum,star-flowered lily-of-the-valley
Maianthemum trifolium,three-leaved false Solomon’s seal
Muscari armeniacum,Garden Grape-hyacinth
Muscari botryoides,common grape hyacinth
Muscari neglectum,Grape hyacinth
Ornithogalum nutans,Drooping Star-of-Bethlehem
Ornithogalum umbellatum,common star-of-Bethlehem
Polygonatum biflorum,smooth Solomon's seal
Polygonatum multiflorum,Solomon's-seal
Polygonatum pubescens,hairy Solomon's-seal
Polygonatum ×,NA
Puschkinia scilloides,striped squill
Scilla forbesii,Forbes' Glory-of-the-snow
Scilla luciliae,Boissier's Glory-of-the-snow
Scilla mischtschenkoana,Mishchenko squill
Scilla siberica,Siberian squill
Yucca filamentosa,common yucca
Hemerocallis fulva,orange day-lily
Hemerocallis lilioasphodelus,yellow daylily
Asplenium montanum,mountain spleenwort
Asplenium platyneuron,ebony spleenwort
Asplenium rhizophyllum,walking fern
Asplenium ruta-muraria,wall-rue
Asplenium trichomanes,maidenhair spleenwort
Asplenium viride,green spleenwort
Achillea filipendulina,Fern-leaf Yarrow
Achillea millefolium,common yarrow
Achillea ptarmica,Sneezewort
Ageratina altissima,white snakeroot
Ambrosia artemisiifolia,common ragweed
Ambrosia trifida,giant ragweed
Anaphalis margaritacea,pearly everlasting
Antennaria howellii,Small Pussytoes
Antennaria neglecta,Field Pussytoes
Antennaria parlinii,Parlin's Pussytoes
Antennaria plantaginifolia,plantain-leaved pussytoes
Anthemis cotula,Stinking chamomile
Arctium lappa,greater burdock
Arctium minus,lesser burdock
Arnica lanceolata,lanceleaf arnica
Artemisia absinthium,absinthe wormwood
Artemisia annua,sweet annie
Artemisia biennis,biennial wormwood
Artemisia campestris,Field Sagewort
Artemisia ludoviciana,Silver Wormwood
